"id","provider","provider_content_id","title","alt_titles","description","poster_url","banner_url","year","region","tags","rating","is_series","episode_count","is_vip","fetched_from","fetched_at","last_seen_at","status","popularity_score","created_at","updated_at","view_count","content_type","release_date","release_year","release_status","release_source"
"00188fde-ce9d-4acf-ad83-97feaaec91ce","dramaqueen","1418","Meeting You (2020)",,"","https://imagesdrama.my.id/drama/174045827297071.jpg",,"2020","CN",,,"true","28","false","trending","2026-01-08 14:29:14.200275","2026-01-08 14:29:14.200275","active","20","2026-01-08 14:29:14.200275","2026-01-08 14:29:14.200275","0","drama","2020-10-13","2020","released","api_detail"
"00255b52-7fcf-4d2d-a69a-18c99ccc077b","dramaqueen","954","Reset (2022)",,"","https://imagesdrama.my.id/drama/172510761259131.jpg",,"2022","CN",,,"true","15","false","trending","2026-01-08 14:30:29.826325","2026-01-08 14:30:29.826325","active","20","2026-01-08 14:30:29.826325","2026-01-08 14:30:29.826325","0","drama","2022-08-11","2022","released","api_detail"
"003b57bb-f42a-438b-bd7b-50ffdaf43d52","dramaqueen","339","Genie, Make a Wish (2025)",,"","https://imagesdrama.my.id/drama/175775184638819.webp",,"2025","KR",,,"true","13","false","trending","2026-01-08 14:28:04.668752","2026-01-08 14:28:04.668752","active","20","2026-01-08 14:28:04.668752","2026-01-08 14:28:04.668752","0","drama","2025-10-03","2025","released","api_detail"
"0049232d-c0a9-4c04-b0b2-57e5591864c0","dramaqueen","729","My Undead Yokai Girlfriend (2024)",,"","https://imagesdrama.my.id/drama/171727943266895.jpeg",,"2024","JP",,,"true","8","false","trending","2026-01-08 14:31:00.536459","2026-01-08 14:31:00.536459","active","20","2026-01-08 14:31:00.536459","2026-01-08 14:31:00.536459","0","drama","2024-03-22","2024","released","api_detail"
"007b30ad-6217-49f6-9f14-2bc973fda5da","dramaqueen","1123","Novoland: Pearl Eclipse (2021)",,"","https://imagesdrama.my.id/drama/173036765851528.jpg",,"2021","CN",,,"true","48","false","trending","2026-01-08 14:30:03.392888","2026-01-08 14:30:03.392888","active","20","2026-01-08 14:30:03.392888","2026-01-08 14:30:03.392888","0","drama","2021-11-10","2021","released","api_detail"
"007c66ee-6c2a-46ea-8a49-b94b7e084e50","dramaqueen","1885","My Daughter Is a Zombie (2025)",,"","https://imagesdrama.my.id/drama/175913055318980.webp",,"2025","KR",,,"true","1","false","trending","2026-01-08 14:28:05.678691","2026-01-08 14:28:05.678691","active","20","2026-01-08 14:28:05.678691","2026-01-08 14:28:05.678691","0","drama","2025-07-30","2025","released","api_detail"
"008c8bb4-9eca-425a-b5c6-2c8c037fe6fc","dramaqueen","981","Our Beautiful Summer (2024)",,"","https://imagesdrama.my.id/drama/172645503525197.jpg",,"2024","KR",,,"true","2","false","trending","2026-01-08 14:30:24.866943","2026-01-08 14:30:24.866943","active","20","2026-01-08 14:30:24.866943","2026-01-08 14:30:24.866943","0","drama","2024-09-14","2024","released","api_detail"
"00e0bc0b-dca8-402a-a154-b281db5d218a","dramaqueen","1838","Detective Chinatown (2015)",,"","https://imagesdrama.my.id/drama/175826107387798.webp",,"2015","CN",,,"true","1","false","trending","2026-01-08 14:28:12.162685","2026-01-08 14:28:12.162685","active","20","2026-01-08 14:28:12.162685","2026-01-08 14:28:12.162685","0","drama","2015-12-31","2015","released","api_detail"
"0101c938-582b-44ab-b26a-b06588a8bf93","dramaqueen","1591","Love beyond the Curse (2025)",,"","https://imagesdrama.my.id/drama/174769878099393.jpg",,"2025","CN",,,"true","23","false","trending","2026-01-08 14:28:46.003079","2026-01-08 14:28:46.003079","active","20","2026-01-08 14:28:46.003079","2026-01-08 14:28:46.003079","0","drama","2025-05-20","2025","released","api_detail"
"01bd5deb-80fb-4e76-a307-9fe0e42f0e8c","dramaqueen","1971","Last Samurai Standing (2025)",,"","https://imagesdrama.my.id/drama/176307321991239.webp",,"2025","JP",,,"true","6","false","trending","2026-01-08 14:27:51.938343","2026-01-08 14:27:51.938343","active","20","2026-01-08 14:27:51.938343","2026-01-08 14:27:51.938343","0","drama","2025-11-13","2025","released","api_detail"
"01c901b1-9cf0-4ee9-9cf4-fbb6aba52a78","dramaqueen","485","Memorist (2020)",,"","https://imagesdrama.my.id/drama/170573074133496.jpg",,"2020","KR",,,"true","16","false","trending","2026-01-08 14:32:35.59054","2026-01-08 14:32:35.59054","active","20","2026-01-08 14:32:35.59054","2026-01-08 14:32:35.59054","0","drama","2020-03-11","2020","released","api_detail"
"023e689d-981c-4af2-a49d-6ee27f5c66b6","dramaqueen","432","Private Lives (2020)",,"","https://imagesdrama.my.id/drama/170504177739724.jpg",,"2020","KR",,,"true","16","false","trending","2026-01-08 14:32:28.660817","2026-01-08 14:32:28.660817","active","20","2026-01-08 14:32:28.660817","2026-01-08 14:32:28.660817","0","drama","2020-10-07","2020","released","api_detail"
"0241b53d-3208-4353-9780-a6382e157fc3","dramaqueen","624","Ploy's Yearbook (2024)",,"","https://imagesdrama.my.id/drama/171393222551768.jpeg",,"2024","TH",,,"true","16","false","trending","2026-01-08 14:31:01.43036","2026-01-08 14:31:01.43036","active","20","2026-01-08 14:31:01.43036","2026-01-08 14:31:01.43036","0","drama","2024-04-08","2024","released","api_detail"
"02839f41-0bec-4e76-a1da-12f49d334c9b","dramaqueen","1489","Suits (2018)",,"","https://imagesdrama.my.id/drama/174271392667160.jpg",,"2018","KR",,,"true","16","false","trending","2026-01-08 14:29:04.421182","2026-01-08 14:29:04.421182","active","20","2026-01-08 14:29:04.421182","2026-01-08 14:29:04.421182","0","drama","2018-04-25","2018","released","api_detail"
"02ab8498-c411-4906-9b78-94b6aeba6edf","dramaqueen","1936","The Dream Life of Mr. Kim (2025)",,"","https://imagesdrama.my.id/drama/176145380428410.webp",,"2025","KR",,,"true","12","false","trending","2026-01-08 14:27:47.406469","2026-01-08 14:27:47.406469","active","20","2026-01-08 14:27:47.406469","2026-01-08 14:27:47.406469","0","drama","2025-10-25","2025","released","api_detail"
"02fb3da9-0dd6-4a0c-9af0-7d96ad90df02","dramaqueen","1333","Where Stars Land (2018)",,"","https://imagesdrama.my.id/drama/173762998694497.jpg",,"2018","KR",,,"true","16","false","trending","2026-01-08 14:29:27.751964","2026-01-08 14:29:27.751964","active","20","2026-01-08 14:29:27.751964","2026-01-08 14:29:27.751964","0","drama","2018-10-01","2018","released","api_detail"
"02fc1aa0-8778-4d16-a68b-2b702755841f","dramaqueen","114","Military Prosecutor Doberman (2022)",,"","https://imagesdrama.my.id/drama/170054012766995.jpeg",,"2022","KR",,,"true","17","false","trending","2026-01-08 14:31:28.509097","2026-01-08 14:31:28.509097","active","20","2026-01-08 14:31:28.509097","2026-01-08 14:31:28.509097","0","drama","2022-02-28","2022","released","api_detail"
